"","room","batch","round","condition","results.condition","results.format","n","mean","median","prop","groupID","fracture"
"61","B",1535046705869,1,"A","treatment","c(1, 2, 1)",2,53,53,0,0.750137286260724,0
"62","B",1535046705869,2,"B","treatment","c(1, 2, 1)",2,34,34,0.5,1.34184708353132,1
"63","B",1535046705869,3,"Ap","treatment","c(1, 2, 1)",2,39.5,39.5,0.5,0.82544912584126,1
"64","B",1535053364227,1,"A","baseline","1:3",2,42,42,0.5,1.42264046845958,1
"65","B",1535053364227,3,"C","baseline","1:3",2,53,53,0,1.477408955805,0
"66","B",1535133781647,1,"A","baseline","1:3",2,43.5,43.5,1,1.14984290767461,1
"67","B",1535151954966,1,"B","control","c(2, 1, 1)",2,63,63,0,1.72639301186427,0
"68","B",1535151954966,2,"A","control","c(2, 1, 1)",2,70,70,0,1.53134931251407,0
"69","B",1535151954966,3,"Ap","control","c(2, 1, 1)",2,70,70,0,0.130843816325068,0
"70","B",1535391659879,1,"A","baseline","1:3",2,28.5,28.5,1,0.235035951714963,1
