"","room","batch","round","condition","team","task","n","teamMeanViability","teamMedianViability","groupManipulationCheck","teamProportionFracture","teamMembers","viabilityZ","teamFracture","fracture"
"490","D",1553974262035,2,"unmasked","B","cognative-conflic",3,57.6666666666667,56,1,0.333333333333333,"1rj-arvtanKQBD16AAA0, 7DaL0vheP_RwvvPCAAA2, d6GuK5dCmmickYExAAAG",0.240925195522725,FALSE,0
"491","D",1553976061391,1,"masked","A","cognative-conflic",3,60.6666666666667,58,0,0,"6h8GQVfR72qSKep_AAAL, ERwTYp_GjcMoLhbIAAAy, trJDYI4Fnuu9VYNQAAAG",0.5913491566885,FALSE,0
"492","D",1553976061391,2,"masked","B","cognative-conflic",3,60,56,0,0,"kigXIvKgp3eXKRNXAAAX, OQ0fp1oexq6nViSAAAAx, trJDYI4Fnuu9VYNQAAAG",0.513477165318328,FALSE,0
"493","D",1553976061391,3,"masked","Ap","cognative-conflic",3,68.6666666666667,70,0,0,"6h8GQVfR72qSKep_AAAL, ERwTYp_GjcMoLhbIAAAy, trJDYI4Fnuu9VYNQAAAG",1.52581305313057,FALSE,0
"494","D",1553976061391,4,"masked","B","cognative-conflic",3,62.3333333333333,70,0,0.666666666666667,"ERwTYp_GjcMoLhbIAAAy, hy6LCGPC4BcZjqKBAAAv, kigXIvKgp3eXKRNXAAAX",0.78602913511393,TRUE,1
"495","D",1553976662210,1,"unmasked","A","cognative-conflic",4,39.25,39.5,0.25,1,"6UVLWObNSM271IkHAAAv, hNA4N4xZGLLts8wiAAA8, LH4GyLyY6zdLbSLxAAAI, Rh9B8szlqwn_qDbyAAA6",-1.91028856607828,TRUE,1
"496","D",1553976662210,2,"unmasked","B","cognative-conflic",4,62,60,0.5,0,"Gc5P8Q2YjeWICGJJAAAi, hd9_Oze5lngfYvPdAAAa, hNA4N4xZGLLts8wiAAA8, uyn8UR2_vAMO6_DSAAAX",0.747093139428844,FALSE,0
"497","D",1553976662210,3,"unmasked","Ap","cognative-conflic",4,60.25,59,0.25,0.25,"6UVLWObNSM271IkHAAAv, hNA4N4xZGLLts8wiAAA8, LH4GyLyY6zdLbSLxAAAI, Rh9B8szlqwn_qDbyAAA6",0.542679162082143,FALSE,0
"498","D",1553976662210,4,"unmasked","B","cognative-conflic",4,35.75,38.5,0.5,1,"hNA4N4xZGLLts8wiAAA8, MX76dWpWP_vYSz8SAAAc, qO_pbs-h1ZJ3qMnyAAAl, tiDZuJ3rJH9K7O3iAAA7",-2.31911652077168,TRUE,1
"499","D",1553977861621,1,"masked","A","cognative-conflic",3,45.3333333333333,41,0,0.666666666666667,"ibSkG14rAHbxeokOAAAJ, KxcAQiBR70q1pEiVAAAW, lzVNTwjqkvqnhkfrAAAc",-1.19970664482546,TRUE,1
"500","D",1553977861621,3,"masked","Ap","cognative-conflic",3,61.3333333333333,58,0,0,"ibSkG14rAHbxeokOAAAJ, KxcAQiBR70q1pEiVAAAW, lzVNTwjqkvqnhkfrAAAc",0.669221148058672,FALSE,0
"501","D",1553979061651,4,"masked","B","cognative-conflic",3,64,70,0.333333333333333,0.333333333333333,"AjY7k_dCMyaiye5kAAAS, oIz9crmAS26HoGLrAAAv, Wm05LF9PFEXgZWBeAAAp",0.98070911353936,FALSE,0
"502","D",1554033661603,1,"unmasked","A","cognative-conflic",4,47.75,50,0.75,0.5,"R9PVrhmmu0wWZ6JmAAAY, rJJUVggNpNBwS6t7AAAV, TacLzAkJT1ON_OxwAAAZ, XzpG7g3K9DoBsyrVAAAG",-0.917420676108584,TRUE,1
"503","D",1554033661603,2,"unmasked","B","cognative-conflic",4,61,60.5,0.75,0,"6rAcfvLwgJ3kUNYkAAAb, p_w6N0NGVbPK2MiHAAAD, rJJUVggNpNBwS6t7AAAV, Wucd1cYD43FGpQUQAAAe",0.630285152373586,FALSE,0
"504","D",1554033661603,3,"unmasked","B","cognative-conflic",4,40,40,0.75,0.5,"_jgJUBS27tJRdieMAAAM, 9vq_bgfuy20DK0VtAAAX, R9PVrhmmu0wWZ6JmAAAY, Wucd1cYD43FGpQUQAAAe",-1.82268257578683,TRUE,1
"505","D",1554033661603,4,"unmasked","Ap","cognative-conflic",4,58.75,60,0.75,0.5,"R9PVrhmmu0wWZ6JmAAAY, rJJUVggNpNBwS6t7AAAV, TacLzAkJT1ON_OxwAAAZ, XzpG7g3K9DoBsyrVAAAG",0.367467181499255,TRUE,1
"506","D",1554037862339,2,"unmasked","A","cognative-conflic",4,57.75,56,0.25,0,"E87bSPwJGCmSQJdRAAAk, rfCE1UWqYhwmyeaTAAAe, T8uHJO9uga6ytxWZAAAK, UJJgRO3m3heDz2QFAAAM",0.250659194443997,FALSE,0
"507","D",1554037862339,4,"unmasked","Ap","cognative-conflic",4,60.25,57.5,0.25,0,"E87bSPwJGCmSQJdRAAAk, rfCE1UWqYhwmyeaTAAAe, T8uHJO9uga6ytxWZAAAK, UJJgRO3m3heDz2QFAAAM",0.542679162082143,FALSE,0
"508","D",1554043261926,4,"unmasked","B","cognative-conflic",4,58.25,55.5,0.75,0,"4QIYdwGRgxevsIvYAAA0, DRzT2H7b--wkqFOSAABa, stPlDaLPmcqwnSliAAAr, ZL1ag-NaLvlXaOlCAABd",0.309063187971626,FALSE,0
"509","D",1554043861941,1,"masked","B","cognative-conflic",3,52,57,0,0.666666666666667,"S1m477Uf_OyhgJcLAAA1, SIohIVJpkf0QLBAiAAAo, uHbjYvJ7fj_fJ4pPAAA4",-0.420986731123737,TRUE,1
"510","D",1554043861941,2,"masked","A","cognative-conflic",4,56.25,55.5,0,0.25,"-lP-pQEtjSbDUGhbAAAt, t7hPjHspNw8Y0QNvAAAe, uHbjYvJ7fj_fJ4pPAAA4, w6n8OgWlYDX-rBfXAAAM",0.07544721386111,FALSE,0
"511","D",1554043861941,3,"masked","B","cognative-conflic",4,45.5,45.5,0,0.25,"91ZyqTAx7P9jFvn7AAAN, p4Za7PKuSLLmBsW5AAAc, S1m477Uf_OyhgJcLAAA1, w6n8OgWlYDX-rBfXAAAM",-1.18023864698291,FALSE,0
"512","D",1554043861941,4,"masked","Ap","cognative-conflic",4,66.25,70,0,0,"-lP-pQEtjSbDUGhbAAAt, t7hPjHspNw8Y0QNvAAAe, uHbjYvJ7fj_fJ4pPAAA4, w6n8OgWlYDX-rBfXAAAM",1.24352708441369,FALSE,0
"513","D",1554046261645,3,"masked","B","cognative-conflic",3,60.3333333333333,65,0,0.333333333333333,"asxkv9Dt8uFEtJEdAAA3, dGfbedfhE-fA-wUQAAAL, tgAKEClxVUdRMB9vAAAy",0.552413161003414,FALSE,0
"514","D",1554048061707,1,"masked","B","cognative-conflic",3,51.6666666666667,55,0.333333333333333,0,"5ngn-Rzr-Kfgud4EAAAk, Cy6k2n9E3Y-pZiE7AAAG, um2AIu0KtFbKdynRAAAE",-0.459922726808823,FALSE,0
"515","D",1554055261815,1,"unmasked","B","cognative-conflic",4,44,44.5,0,0,"N2DxuG1U8iPWBk6tAAAU, sxE7gRTr6rrPSkdyAAAm, V6jS0dD_blAEKbj1AAAt, xNx_L1czdEeSFnLbAAAl",-1.3554506275658,FALSE,0
"516","D",1554055261815,2,"unmasked","A","cognative-conflic",3,59.3333333333333,60,0.666666666666667,0,"GqswW3_5qL71Kp8MAAAe, p238Z-zpSu8GouPbAAAV, V6jS0dD_blAEKbj1AAAt",0.435605173948156,FALSE,0
"517","D",1554055261815,3,"unmasked","B","cognative-conflic",4,53.75,55,0.5,0,"_U2pdp5Hqr86-hUrAAAd, FEHvUrttDhS47XiRAAAE, U4CuJogZwQXh7nKeAAAk, V6jS0dD_blAEKbj1AAAt",-0.216572753777035,FALSE,0
"518","D",1554055261815,4,"unmasked","Ap","cognative-conflic",3,54.6666666666667,54,0.666666666666667,0,"GqswW3_5qL71Kp8MAAAe, p238Z-zpSu8GouPbAAAV, V6jS0dD_blAEKbj1AAAt",-0.109498765643049,FALSE,0
"519","D",1554055862256,1,"masked","A","cognative-conflic",3,62.6666666666667,62,0,0,"_zCpYqM_CFogHcEOAAAs, Ne60TgrIxBSApH_8AAA-, u-ajMB8LgAKRr1MfAAAT",0.824965130799016,FALSE,0
"520","D",1554055862256,3,"masked","B","cognative-conflic",3,64.6666666666667,68,0,0,"giiDKPANvSh_ORiJAAA0, mppuDC84DcEhQVKMAAAQ, Ne60TgrIxBSApH_8AAA-",1.05858110490953,FALSE,0
"521","D",1554055862256,4,"masked","Ap","cognative-conflic",3,45,51,0,0.333333333333333,"_zCpYqM_CFogHcEOAAAs, Ne60TgrIxBSApH_8AAA-, u-ajMB8LgAKRr1MfAAAT",-1.23864264051054,FALSE,0
"522","D",1554057662196,3,"unmasked","B","cognative-conflic",3,44.3333333333333,39,0.333333333333333,0.666666666666667,"etEzmCw7hICcjs5dAAA_, lLfYes-DPlwcrkN_AABI, mo6DZbTuka8er-hfAABK",-1.31651463188072,TRUE,1
"523","D",1554207061461,1,"masked","A","intellective",3,62.6666666666667,64,0.333333333333333,0,"63DoKDIVQnd74t6-AABB, q8jXfNjRd9p_eSY3AAAh, rGrWIPzEdQ2VFwQeAABC",0.824965130799016,FALSE,0
"524","D",1554207061461,3,"masked","B","intellective",3,67.3333333333333,70,0.333333333333333,0,"iGz1IHFkKkuIcVG0AAAY, of6GbVZDtfYvffFyAAAj, rGrWIPzEdQ2VFwQeAABC",1.37006907039022,FALSE,0
"525","D",1554207061461,4,"masked","Ap","intellective",3,58.3333333333333,56,0.333333333333333,0.333333333333333,"63DoKDIVQnd74t6-AABB, q8jXfNjRd9p_eSY3AAAh, rGrWIPzEdQ2VFwQeAABC",0.318797186892898,FALSE,0
"526","D",1554208261482,1,"masked","A","intellective",3,45.6666666666667,49,0,0.333333333333333,"dsKaJusRLyQRcZSjAABG, wOs9TBeZbYrFjfEaAAAp, ybW__phCy1dzWBd-AABC",-1.16077064914037,FALSE,0
"527","D",1554208261482,2,"masked","B","intellective",4,59.25,60.5,0.25,0,"CxsMYvySIkOo03c1AAAs, dsKaJusRLyQRcZSjAABG, fPK2iiSh_k-ihDNwAAAW, plypQUeu_5oO3UYvAAAP",0.425871175026884,FALSE,0
"528","D",1554208261482,4,"masked","Ap","intellective",3,48.6666666666667,48,0,0.666666666666667,"dsKaJusRLyQRcZSjAABG, wOs9TBeZbYrFjfEaAAAp, ybW__phCy1dzWBd-AABC",-0.810346687974598,TRUE,1
"529","D",1554208861493,1,"unmasked","A","intellective",3,51,52,0.333333333333333,0.666666666666667,"0zbo7pX4M-Kk_4sPAAAl, HFYIFEeBHuqcpyLKAAA5, hmoByxUgDuF6mUYoAABP",-0.537794718178995,TRUE,1
"530","D",1554208861493,3,"unmasked","B","intellective",3,54,54,0.666666666666667,0.333333333333333,"cRwMb5rInVjkV7bGAAAc, hmoByxUgDuF6mUYoAABP, vDDVYZf9q7uzNpfmAAA0",-0.187370757013221,FALSE,0
"531","D",1554208861493,4,"unmasked","Ap","intellective",3,51,58,0.333333333333333,1,"0zbo7pX4M-Kk_4sPAAAl, HFYIFEeBHuqcpyLKAAA5, hmoByxUgDuF6mUYoAABP",-0.537794718178995,TRUE,1
"532","D",1554216661871,1,"masked","B","intellective",3,56.6666666666667,57,0,0,"1EIHDfMB2-GceuTqAAAw, J2uQTEF6C4iyDTvnAABR, XCVauoVoFXXcWMfDAABD",0.124117208467467,FALSE,0
"533","D",1554216661871,2,"masked","A","intellective",4,56.25,53.5,0,0.25,"1EIHDfMB2-GceuTqAAAw, qLEXrMZrfnWQ-kj4AAAs, VNeeFxIddUEn2a1HAAAn, VPiR1IglMQ7fC3yXAAAV",0.07544721386111,FALSE,0
"534","D",1554216661871,3,"masked","B","intellective",3,46.6666666666667,51,0,1,"qLEXrMZrfnWQ-kj4AAAs, u-YPr4aJIFNcRAKlAABP, XCVauoVoFXXcWMfDAABD",-1.04396266208511,TRUE,1
"535","D",1554216661871,4,"masked","Ap","intellective",4,45,42,0,0.5,"1EIHDfMB2-GceuTqAAAw, qLEXrMZrfnWQ-kj4AAAs, VNeeFxIddUEn2a1HAAAn, VPiR1IglMQ7fC3yXAAAV",-1.23864264051054,TRUE,1
"536","D",1554217261920,2,"unmasked","B","intellective",3,53,59,0.333333333333333,0.333333333333333,"Ozd_iu3yflqjzWLeAAAb, qda0jCpiz05yTt3JAAAY, zX6c5-B1wCVefx4CAAA-",-0.304178744068479,FALSE,0
"537","D",1554218462090,1,"unmasked","A","intellective",3,58,56,0.666666666666667,0,"78bkv2ql-i6P2jm2AAAn, n37NphvC8aIuZXljAAA4, sPUzaFNVQbDhTDRKAAAj",0.279861191207812,FALSE,0
"538","D",1554218462090,2,"unmasked","B","intellective",3,54.3333333333333,55,0.333333333333333,0.333333333333333,"DjyCzsSafnkMenTjAAA-, n37NphvC8aIuZXljAAA4, V4AF5LOdCYz4Fj6QAAAr",-0.148434761328134,FALSE,0
"539","D",1554218462090,3,"unmasked","B","intellective",3,43,42,1,0.666666666666667,"78bkv2ql-i6P2jm2AAAn, br-grXdJ6N8Mq891AAAu, V4AF5LOdCYz4Fj6QAAAr",-1.47225861462106,TRUE,1
"540","D",1554218462090,4,"unmasked","Ap","intellective",3,53,56,0.666666666666667,0,"78bkv2ql-i6P2jm2AAAn, n37NphvC8aIuZXljAAA4, sPUzaFNVQbDhTDRKAAAj",-0.304178744068479,FALSE,0
"541","D",1554220861653,2,"masked","B","intellective",4,48.25,48,0.25,0.25,"NwpmTGCJm1dxDJ9XAAAe, w8inipvXY_lr_ODFAAAS, yaf90L9wVVbvnUkMAABO, ZUyx5a9F99iFdIm9AAAi",-0.859016682580955,FALSE,0
"542","D",1554220861653,3,"masked","B","intellective",3,46.6666666666667,42,0,0.666666666666667,"0Di5OaCoMQpxpCXuAAAk, W3Vt08keQzw2Gq_AAABI, yaf90L9wVVbvnUkMAABO",-1.04396266208511,TRUE,1
"543","D",1554222662200,1,"unmasked","A","intellective",3,57,56,0.333333333333333,0,"4jlzxJr3kQjTUocjAAAr, A3Kpcdmt2PJ93HngAABD, FjzeBPQmEyQrCv50AABO",0.163053204152554,FALSE,0
"544","D",1554222662200,2,"unmasked","B","intellective",4,58.25,56,0.75,0,"4jlzxJr3kQjTUocjAAAr, ijLvF0NxPDaUzo3OAABK, iL6NijmaVosz9VSEAAAk, uKFp90Z0iWgtYzntAABV",0.309063187971626,FALSE,0
"545","D",1554222662200,3,"unmasked","Ap","intellective",3,60,56,0.333333333333333,0,"4jlzxJr3kQjTUocjAAAr, A3Kpcdmt2PJ93HngAABD, FjzeBPQmEyQrCv50AABO",0.513477165318328,FALSE,0
"546","D",1554222662200,4,"unmasked","B","intellective",3,47,56,0.666666666666667,0.333333333333333,"ijLvF0NxPDaUzo3OAABK, JnfksK9re0ipBhwwAAAf, JyvKMhTnQl_m8ouRAAAu",-1.00502666640003,FALSE,0
